Date,Avg_Temperature_C,Avg_Humidity_Percent
2026-04-25,33.525,57.25
2026-04-26,31.159999999999997,61.660000000000004
2026-04-27,28.9,67.05
2026-04-28,29.9,64.84
2026-04-30,27.525,67.0
2026-05-01,28.1,62.8
2026-05-02,29.3,60.8
2026-05-03,29.4,69.1
2026-05-04,31.0,60.2
2026-05-06,27.4,67.9
2026-05-07,26.5,68.7
2026-05-08,28.5,58.0
2026-05-09,30.6,51.3
2026-05-10,29.633333333333336,59.699999999999996
2026-05-11,30.700000000000003,62.75
2026-05-12,30.15,64.0
2026-05-13,33.0,62.9
2026-05-14,31.666666666666668,68.46666666666665
2026-05-15,32.5,64.05000000000001
2026-05-16,32.1,64.8
2026-05-17,32.0,67.8
2026-05-18,34.7,63.9
2026-05-19,32.8,73.425
2026-05-20,34.2,68.3
2026-05-21,32.05,74.15
2026-05-23,32.05,64.85
2026-05-24,34.03333333333333,61.199999999999996
2026-05-25,33.1,64.99
2026-05-26,31.76,60.739999999999995
2026-05-27,30.48,65.1
2026-05-28,32.52222222222222,58.77777777777778
2026-05-29,29.825,70.7
2026-05-30,29.933333333333334,72.64166666666667
2026-05-31,32.675,61.15
2026-06-01,32.3,70.0
2026-06-02,34.22857142857143,56.871428571428574
2026-06-03,34.554545454545455,57.26363636363636
2026-06-04,33.675,56.425
2026-06-05,34.357142857142854,57.9
2026-06-06,33.06,62.36
2026-06-07,33.707692307692305,60.76923076923077
2026-06-08,33.266666666666666,62.449999999999996
2026-06-09,33.4,63.2375
2026-06-10,29.857142857142858,74.08571428571429
2026-06-11,29.65833333333333,71.40833333333333
2026-06-12,30.755555555555556,69.3111111111111
2026-06-13,32.38333333333333,65.16666666666667
2026-06-14,32.333333333333336,68.45
2026-06-15,32.2,71.7
